iter	RMSE
0	2101297.437
1	1990849.609
2	1897171.879
3	1804378.367
4	1721627.093
5	1647272.752
6	1577195.764
7	1516086.494
8	1456609.321
9	1404677.843
10	1359340.419
11	1315399.574
12	1274463.717
13	1236996.853
14	1200585.949
15	1168619.013
16	1142416.287
17	1115440.312
18	1092164.336
19	1071533.762
20	1052171.984
21	1030936.377
22	1014571.861
23	997086.8536
24	984739.2814
25	971069.722
26	956500.1641
27	943700.3637
28	932438.1398
29	922353.0827
30	912937.4623
31	905019.0045
32	897279.6194
33	889926.4273
34	882870.7279
35	875065.8699
36	868594.3641
37	863830.7769
38	857973.6288
39	852491.8537
40	846179.7911
41	841800.7795
42	836698.0706
43	832236.217
44	827881.6794
45	823672.9573
46	818901.8377
47	815059.1861
48	810556.9085
49	806024.7162
50	802292.1228
51	798752.3199
52	795665.7138
53	793118.6485
54	789825.4821
55	786559.232
56	784478.6002
57	781158.0268
58	778477.8718
59	774695.8983
60	772144.0669
61	770486.6687
62	768595.9581
63	765879.345
64	763709.7031
65	760046.1725
66	757271.762
67	755551.3504
68	752556.054
69	750113.5095
70	747545.0511
71	745277.6747
72	743352.7793
73	741829.4746
74	739898.2529
75	737835.4533
76	736154.7406
77	734596.5834
78	732799.154
79	729832.8957
80	728194.8512
81	725942.9917
82	724318.3001
83	722824.0034
84	721037.8553
85	719607.91
86	717889.8263
87	715852.8324
88	714874.7931
89	713401.8542
90	712375.8337
91	710182.9139
92	708837.7948
93	707152.6533
94	705749.6676
95	704422.924
96	703360.238
97	702226.825
98	701293.444
99	699848.9528
100	698902.6747
101	697907.2023
102	696287.2139
103	695147.6673
104	694119.4945
105	692433.7765
106	690588.2944
107	689306.8397
108	687558.5179
109	685169.7691
110	684054.4756
111	682621.6052
112	681197.8101
113	679961.3086
114	678647.8631
115	677294.1344
116	676036.5751
117	674818.7929
118	673539.817
119	671853.3198
120	670434.5923
121	669586.2109
122	667616.7597
123	666570.1099
124	665102.1401
125	664355.1991
126	663066.1532
127	661664.2565
128	660627.9112
129	659016.9816
130	658214.7942
131	657252.3058
132	656042.3838
133	655358.0188
134	654804.2586
135	653802.3093
136	652832.0078
137	651829.2098
138	650772.6383
