iter	Passed	Remaining
0	10	4062
1	18	3698
2	26	3550
3	35	3492
4	43	3414
5	54	3566
6	70	3946
7	81	3983
8	91	3953
9	99	3867
10	108	3830
11	116	3780
12	126	3758
13	135	3741
14	144	3701
15	155	3738
16	165	3723
17	174	3711
18	185	3711
19	197	3755
20	206	3732
21	218	3754
22	227	3736
23	240	3773
24	253	3805
25	264	3801
26	275	3805
27	288	3834
28	299	3835
29	312	3855
30	326	3883
31	336	3872
32	347	3863
33	357	3853
34	368	3839
35	377	3820
36	388	3815
37	398	3795
38	410	3803
39	438	3947
40	477	4185
41	494	4214
42	507	4211
43	515	4171
44	524	4135
45	532	4095
46	541	4063
47	549	4032
48	558	3997
49	565	3960
50	574	3929
51	582	3901
52	591	3874
53	599	3840
54	607	3811
55	615	3781
56	623	3750
57	631	3724
58	640	3702
59	647	3669
60	654	3639
61	663	3615
62	670	3586
63	678	3564
64	687	3543
65	697	3531
66	707	3515
67	715	3493
68	722	3468
69	731	3449
70	740	3430
71	749	3413
72	757	3392
73	765	3373
74	773	3353
75	783	3339
76	790	3317
77	798	3296
78	807	3279
79	814	3258
80	822	3240
81	833	3232
82	840	3209
83	875	3294
84	893	3312
85	911	3328
86	942	3389
87	952	3377
88	963	3368
89	973	3354
90	994	3378
91	1025	3432
92	1050	3469
93	1067	3476
94	1082	3475
95	1091	3457
96	1105	3452
97	1119	3449
98	1132	3442
99	1142	3427
100	1156	3423
101	1167	3411
102	1178	3397
103	1188	3382
104	1198	3365
105	1207	3347
106	1216	3330
107	1224	3310
108	1233	3293
109	1243	3277
110	1254	3265
111	1264	3251
112	1273	3233
113	1285	3225
114	1293	3206
115	1302	3188
116	1311	3173
117	1320	3155
118	1329	3138
119	1339	3125
120	1347	3107
121	1356	3091
122	1366	3078
123	1376	3064
124	1388	3053
125	1397	3038
126	1411	3033
127	1425	3029
128	1434	3013
129	1444	2999
130	1452	2982
131	1460	2965
132	1469	2949
133	1481	2940
134	1489	2923
135	1497	2906
136	1506	2891
137	1514	2875
138	1523	2859
139	1532	2846
140	1542	2832
141	1551	2819
142	1559	2802
143	1567	2786
144	1576	2771
145	1584	2756
146	1593	2742
147	1601	2726
148	1609	2711
149	1618	2697
150	1626	2681
151	1633	2665
152	1642	2651
153	1650	2636
154	1658	2621
155	1667	2608
156	1677	2596
157	1687	2585
158	1703	2581
159	1714	2571
160	1724	2560
161	1734	2547
162	1746	2538
163	1756	2528
164	1769	2520
165	1782	2512
166	1792	2500
167	1801	2487
168	1809	2473
169	1818	2460
170	1828	2448
171	1837	2436
172	1848	2425
173	1860	2416
174	1870	2405
175	1879	2392
176	1887	2378
177	1896	2365
178	1906	2353
179	1917	2343
180	1926	2331
181	1936	2319
182	1943	2304
183	1952	2292
184	1961	2279
185	1969	2266
186	1978	2254
187	1985	2239
188	1994	2227
189	2003	2213
190	2011	2200
191	2019	2187
192	2028	2175
193	2036	2162
194	2044	2149
195	2052	2136
196	2060	2123
197	2068	2110
198	2081	2102
199	2091	2091
200	2099	2079
201	2108	2066
202	2117	2054
203	2125	2041
204	2133	2029
205	2141	2016
206	2150	2004
207	2157	1991
208	2168	1981
209	2177	1969
210	2186	1958
211	2197	1948
212	2206	1937
213	2216	1926
214	2225	1915
215	2237	1906
216	2253	1900
217	2266	1892
218	2275	1880
219	2285	1870
220	2293	1857
221	2303	1847
222	2312	1835
223	2319	1822
224	2326	1809
225	2334	1797
226	2341	1784
227	2349	1772
228	2357	1760
229	2370	1752
230	2390	1749
231	2433	1762
232	2452	1757
233	2470	1752
234	2481	1742
235	2490	1730
236	2500	1720
237	2513	1710
238	2522	1699
239	2531	1687
240	2542	1677
241	2555	1668
242	2566	1657
243	2574	1645
244	2580	1632
245	2585	1618
246	2593	1606
247	2599	1593
248	2607	1581
249	2616	1569
250	2624	1558
251	2631	1545
252	2638	1532
253	2645	1520
254	2651	1507
255	2662	1497
256	2673	1487
257	2682	1476
258	2692	1465
259	2698	1453
260	2704	1440
261	2710	1427
262	2719	1416
263	2725	1404
264	2733	1392
265	2742	1381
266	2751	1370
267	2758	1358
268	2765	1346
269	2771	1334
270	2778	1322
271	2785	1310
272	2792	1299
273	2798	1286
274	2805	1275
275	2812	1263
276	2819	1252
277	2826	1240
278	2833	1228
279	2838	1216
280	2844	1204
281	2851	1193
282	2857	1181
283	2865	1170
284	2871	1158
285	2877	1147
286	2885	1135
287	2893	1125
288	2899	1113
289	2905	1102
290	2912	1090
291	2919	1079
292	2928	1069
293	2933	1057
294	2939	1046
295	2945	1034
296	2951	1023
297	2958	1012
298	2966	1002
299	2973	991
300	2978	979
301	2987	969
302	2993	958
303	2999	947
304	3006	936
305	3013	925
306	3019	914
307	3026	903
308	3031	892
309	3036	881
310	3044	871
311	3049	860
312	3056	849
313	3065	839
314	3071	828
315	3078	818
316	3083	807
317	3089	796
318	3098	786
319	3105	776
320	3112	766
321	3118	755
322	3123	744
323	3129	734
324	3135	723
325	3143	713
326	3150	703
327	3158	693
328	3164	682
329	3171	672
330	3178	662
331	3185	652
332	3192	642
333	3198	632
334	3206	622
335	3213	612
336	3220	601
337	3228	592
338	3235	582
339	3241	572
340	3246	561
341	3252	551
342	3258	541
343	3265	531
344	3270	521
345	3277	511
346	3283	501
347	3289	491
348	3295	481
349	3305	472
350	3311	462
351	3317	452
352	3323	442
353	3329	432
354	3334	422
355	3340	412
356	3345	403
357	3352	393
358	3359	383
359	3366	374
360	3373	364
361	3380	354
362	3387	345
363	3396	335
364	3403	326
365	3409	316
366	3416	307
367	3421	297
368	3429	288
369	3435	278
370	3442	269
371	3450	259
372	3457	250
373	3464	240
374	3471	231
375	3478	222
376	3486	212
377	3495	203
378	3544	196
379	3558	187
380	3569	178
381	3580	168
382	3589	159
383	3599	149
384	3606	140
385	3613	131
386	3621	121
387	3628	112
388	3634	102
389	3653	93
390	3661	84
391	3668	74
392	3674	65
393	3679	56
394	3685	46
395	3692	37
396	3700	27
397	3707	18
398	3713	9
399	3719	0
