target,model_family,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds,runtime_used,params_json,trial
cogs,cat,438092.51065117586,23007.630585839623,567244.1137538814,54211.332184146944,0.34232689712186454,0.009176609796036794,2,gpu,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.08, ""random_strength"": 0.0}",8
cogs,cat,449244.7620432483,68931.57874516025,583285.5027746768,96525.02993263584,0.3118484873828384,0.08785151139175301,2,gpu,"{""depth"": 8, ""iterations"": 400, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.03, ""random_strength"": 0.0}",5
cogs,cat,452031.80270964897,57507.844369217084,584721.3218098114,87796.59073414886,0.30746235296051744,0.06690564082688083,2,gpu,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 1.0, ""learning_rate"": 0.03, ""random_strength"": 1.0}",6
cogs,cat,457637.6862625682,53095.7092333076,586867.5165554578,84572.38541198362,0.30188081420754714,0.05889135872337531,2,gpu,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",9
cogs,cat,454912.31218356383,15100.072637629084,598700.3373966753,7116.054977079446,0.24852179644781786,0.13521011983314873,2,gpu,"{""depth"": 6, ""iterations"": 1000, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",7
cogs,cat,467687.47919425374,46313.57822460035,611360.8547645733,62521.29906423774,0.23714484563839394,0.00032759252997777155,2,gpu,"{""depth"": 4, ""iterations"": 1000, ""l2_leaf_reg"": 1.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",4
cogs,cat,478317.20051497174,32193.749426470924,626628.4397815606,59246.01013975259,0.1972341260863244,0.012857195461836723,2,gpu,"{""depth"": 6, ""iterations"": 1000, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.08, ""random_strength"": 0.5}",11
cogs,cat,486002.55041258654,18554.973075994727,634812.4913994602,31936.76050877798,0.16633498457530416,0.08719441179613152,2,gpu,"{""depth"": 4, ""iterations"": 1000, ""l2_leaf_reg"": 7.0, ""learning_rate"": 0.03, ""random_strength"": 0.0}",10
cogs,cat,487093.02095859166,2800.5370303926175,636223.0507890909,15718.437913367292,0.15540834056844482,0.13090944285834266,2,gpu,"{""depth"": 8, ""iterations"": 700, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",12
cogs,cat,496706.44025305833,3016.131276586093,643247.8670368157,9005.906371737248,0.13323072321513701,0.15240317853277724,2,gpu,"{""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 7.0, ""learning_rate"": 0.08, ""random_strength"": 0.0}",1
cogs,cat,493728.02733474795,26765.29744010119,644725.9154680755,47908.335940755904,0.14599944606133042,0.048444875231563156,2,gpu,"{""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 7.0, ""learning_rate"": 0.05, ""random_strength"": 1.0}",3
cogs,cat,508559.69357726176,10955.643674298684,661037.266769103,8912.344891647168,0.08444534528783804,0.16190081707919518,2,gpu,"{""depth"": 8, ""iterations"": 700, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.08, ""random_strength"": 1.0}",2
