target,model_family,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds,runtime_used,params_json,trial
cogs,lgbm,452025.3442914778,20643.899670429702,563263.5418224713,5262.35840763466,0.33419500061651775,0.12306960541623813,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_samples"": 120, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.05, ""reg_lambda"": 0.5, ""subsample"": 0.95}",11
cogs,lgbm,469874.26969363174,15702.009176323423,577172.0313456821,7456.660951814498,0.301870218075281,0.12421437054027118,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_samples"": 120, ""n_estimators"": 1200, ""num_leaves"": 95, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1, ""subsample"": 0.85}",4
cogs,lgbm,452871.2899732394,16247.538931428542,577249.5627150675,48179.47160611302,0.31699573882674364,0.026188277551785266,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.85}",6
cogs,lgbm,462305.22140830284,12874.829250396928,580280.2132444083,31975.853220705176,0.3044328428069626,0.06612789460338897,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 1000, ""num_leaves"": 127, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}",5
cogs,lgbm,461040.7006237827,14856.749563626305,580988.2533483207,50751.0286690988,0.3087691713432482,0.02109413208705402,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",8
cogs,lgbm,462018.9735820681,1175.5030355353083,585129.2727300553,22382.675174097356,0.2889640744782151,0.09131339908935482,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 10, ""min_child_samples"": 40, ""n_estimators"": 400, ""num_leaves"": 95, ""reg_alpha"": 0.05, ""reg_lambda"": 0.01, ""subsample"": 1.0}",7
cogs,lgbm,472258.03353391675,3853.2725631725043,586083.5166752684,34908.671045042574,0.2913893954933842,0.061080582499451086,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_samples"": 60, ""n_estimators"": 1200, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 0.01, ""subsample"": 0.75}",9
cogs,lgbm,467148.85024397797,8494.863476497034,589534.8656049337,16469.59278317867,0.27565297676761014,0.10769625897433899,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 80, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 0.1, ""subsample"": 0.85}",1
cogs,lgbm,469721.1883198166,18705.47937781122,594014.3824618601,50922.55693170382,0.27714481783709366,0.024426381027979893,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_samples"": 80, ""n_estimators"": 800, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10
cogs,lgbm,495497.17665094504,37852.473507534654,615699.3192003085,33117.212795389874,0.18177245474032988,0.2483232654537011,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_samples"": 80, ""n_estimators"": 1000, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",2
cogs,lgbm,492104.3051698472,19080.088236440875,636697.9507390533,44992.04650078149,0.16632364377853864,0.05337658716812416,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 0.01, ""subsample"": 1.0}",12
cogs,lgbm,505311.9146052586,13810.229988428473,640265.7687445823,13116.439923335274,0.14332728553408497,0.13983269198711973,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.75}",3
