target,model_family,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds,runtime_used,params_json,trial
cogs,xgb,421196.67616666673,18102.818666666688,542387.1322162885,46562.05484828999,0.3973522376979414,0.020218362914057597,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 2.0, ""n_estimators"": 300, ""reg_alpha"": 0.05, ""reg_lambda"": 1.0, ""subsample"": 0.85}",7
cogs,xgb,446811.36666666676,2269.372250000015,568190.402712151,12820.55847902241,0.3258567266018557,0.10730875828995101,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 1.0, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 1.5, ""subsample"": 0.85}",12
cogs,xgb,454208.618,8527.258833333355,582094.4221754425,21859.73978658521,0.2961561718993879,0.09135863740364125,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8.0, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.5, ""subsample"": 0.95}",2
cogs,xgb,451092.5634166667,22418.605500000005,584536.4737381145,2365.5867250965675,0.27909594162009776,0.15180403595863068,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 8.0, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.95}",6
cogs,xgb,459131.17775000003,8994.894166666636,587232.1922347064,46721.872282061435,0.2924810024870407,0.032675268238847255,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 4.0, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 1.0, ""subsample"": 0.85}",9
cogs,xgb,467275.2257500001,17284.01025000002,590931.353907471,10289.637706409674,0.2694281836406787,0.12361763644923057,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 8.0, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""subsample"": 0.85}",4
cogs,xgb,476128.3582916667,36592.59720833332,598960.1225510901,74096.40636735619,0.2706896339463126,0.03134987792710453,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1.0, ""n_estimators"": 1000, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 1.0}",3
cogs,xgb,490385.8639583334,42579.899541666644,629028.1934976098,15190.615605936502,0.15790810987557596,0.2093966334233029,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 2.0, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.95}",8
cogs,xgb,516123.0638333333,80262.6126666666,644830.9531559863,114359.56560247188,0.1596188970251735,0.1274268507233055,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 4.0, ""n_estimators"": 300, ""reg_alpha"": 0.05, ""reg_lambda"": 0.5, ""subsample"": 1.0}",10
cogs,xgb,511207.62045833335,60215.839291666576,646252.6475640398,38450.52253867901,0.09594389843084705,0.28374141477879566,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 2.0, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.5, ""subsample"": 0.95}",5
cogs,xgb,535120.8562916666,80300.35295833324,663260.8314818104,57555.808588298445,0.03378004247218541,0.35017843468916005,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1.0, ""n_estimators"": 1000, ""reg_alpha"": 0.05, ""reg_lambda"": 1.5, ""subsample"": 0.75}",11
cogs,xgb,553869.2023750001,124249.6777083333,674315.1769036367,105194.39044348995,-0.04168756393391243,0.4978157758983704,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1.0, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""subsample"": 0.85}",1
