date,revenue,cogs,day,day_of_week,day_of_year,week_of_year,month,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,orders_cnt,unique_customers,orders_status_cancelled,orders_status_created,orders_status_delivered,orders_status_paid,orders_status_returned,orders_status_shipped,orders_paymethod_apple_pay,orders_paymethod_bank_transfer,orders_paymethod_cod,orders_paymethod_credit_card,orders_paymethod_paypal,orders_device_desktop,orders_device_mobile,orders_device_tablet,orders_source_direct,orders_source_email_campaign,orders_source_organic_search,orders_source_paid_search,orders_source_referral,orders_source_social_media,order_items_rows,distinct_orders_from_items,distinct_products_sold,items_qty_sum,gross_merch_value,discount_total,promo_item_cnt,promo2_item_cnt,est_cogs_from_items,promo_item_ratio,promo2_item_ratio,cat_qty_Casual,cat_qty_GenZ,cat_qty_Outdoor,cat_qty_Streetwear,segment_qty_Activewear,segment_qty_All-weather,segment_qty_Balanced,segment_qty_Everyday,segment_qty_Performance,segment_qty_Premium,segment_qty_Standard,segment_qty_Trendy,size_qty_L,size_qty_M,size_qty_S,size_qty_XL,payment_orders_cnt,payment_value_sum,payment_value_mean,installments_mean,installments_max,installments_1_cnt,installments_2_cnt,installments_3_cnt,installments_6_cnt,installments_12_cnt,payments_method_apple_pay,payments_method_bank_transfer,payments_method_cod,payments_method_credit_card,payments_method_paypal,shipments_cnt,shipping_fee_sum,shipping_fee_mean,delivery_days_mean,delivery_days_median,returns_cnt,return_qty_sum,refund_amount_sum,returned_orders_cnt,returned_products_cnt,return_reason_changed_mind,return_reason_defective,return_reason_late_delivery,return_reason_not_as_described,return_reason_wrong_size,reviews_cnt,avg_rating,median_rating,low_rating_cnt,high_rating_cnt,unique_reviewed_products,unique_review_customers,sessions_total,unique_visitors_total,page_views_total,bounce_rate_mean,avg_session_duration_sec_mean,sessions_source_direct,sessions_source_email_campaign,sessions_source_organic_search,sessions_source_paid_search,sessions_source_referral,sessions_source_social_media,visitors_source_direct,visitors_source_email_campaign,visitors_source_organic_search,visitors_source_paid_search,visitors_source_referral,visitors_source_social_media,unique_customers_from_profile,avg_customer_tenure_days,median_customer_tenure_days,new_customers_same_day,age_group_18-24,age_group_25-34,age_group_35-44,age_group_45-54,age_group_55+,gender_Female,gender_Male,gender_Non-binary,shipping_zip_nunique,shipping_city_nunique,shipping_district_nunique,orders_region_Central,orders_region_East,orders_region_West,stock_on_hand_sum,units_received_sum,units_sold_sum,stockout_days_sum,stockout_flag_sum,overstock_flag_sum,reorder_flag_sum,days_of_supply_mean,fill_rate_mean,sell_through_rate_mean,product_inventory_nunique,is_promo_active,promo_active_cnt,promo_global_cnt,promo_targeted_cnt,promo_global_ratio,promo_discount_mean,promo_global_discount_mean,promo_targeted_discount_mean,promo_intensity,promo_pct_cnt,promo_fixed_cnt,promo_stackable_cnt,promo_outdoor_direct_cnt,promo_outdoor_direct_discount_mean,promo_streetwear_direct_cnt,promo_streetwear_direct_discount_mean,days_to_next_promo_start,days_since_prev_promo_end,is_promo_start_day,is_promo_end_day,is_pre_promo_3d,is_post_promo_3d,is_pre_promo_7d,is_post_promo_7d,net_merch_after_discount,refund_to_gmv_ratio,return_per_order_ratio,promo_item_to_qty_ratio,pages_per_session,visitors_per_session
2012-07-04,5123547.94,3982991.19,4,2,186,27,7,3,2012,0,0,0,0,0,162.0,161.0,9.0,0.0,134.0,6.0,11.0,2.0,19.0,5.0,22.0,85.0,31.0,67.0,69.0,26.0,9.0,14.0,52.0,30.0,16.0,41.0,174.0,162.0,93.0,777.0,5123547.94,0.0,0.0,0.0,3982991.1894381884,0.0,0.0,19.0,30.0,172.0,556.0,163.0,19.0,148.0,321.0,68.0,9.0,19.0,30.0,118.0,119.0,264.0,276.0,162.0,5123547.94,31626.83913580247,3.7901234567901234,12.0,59.0,0.0,57.0,28.0,18.0,19.0,5.0,22.0,85.0,31.0,33.0,157.76,4.78060606060606,4.333333333333333,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,-2488.716049382716,-2621.0,0.0,17.0,40.0,50.0,38.0,17.0,83.0,71.0,8.0,156.0,39.0,38.0,43.0,79.0,40.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,211.0,,0,0,0,0,0,0,5123547.94,,,0.0,,
2012-07-05,2751773.45,2150580.23,5,3,187,27,7,3,2012,0,0,0,0,0,97.0,97.0,9.0,0.0,81.0,1.0,5.0,1.0,7.0,9.0,16.0,47.0,18.0,43.0,38.0,16.0,6.0,11.0,26.0,18.0,9.0,27.0,103.0,97.0,65.0,428.0,2751773.45,0.0,0.0,0.0,2150580.2337576686,0.0,0.0,4.0,39.0,96.0,289.0,83.0,4.0,70.0,182.0,36.0,13.0,1.0,39.0,76.0,97.0,122.0,133.0,97.0,2751773.45,28368.798453608248,3.917525773195876,12.0,41.0,0.0,29.0,12.0,15.0,7.0,9.0,16.0,47.0,18.0,45.0,172.75,3.838888888888889,4.444444444444445,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,-2543.505154639175,-2682.0,0.0,9.0,29.0,23.0,28.0,8.0,45.0,51.0,1.0,97.0,37.0,37.0,33.0,42.0,22.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,210.0,,0,0,0,0,0,0,2751773.45,,,0.0,,
2012-07-06,3054029.42,2517632.84,6,4,188,27,7,3,2012,0,0,0,0,0,93.0,93.0,11.0,1.0,69.0,2.0,7.0,3.0,8.0,1.0,11.0,60.0,13.0,42.0,42.0,9.0,10.0,12.0,28.0,23.0,7.0,13.0,99.0,93.0,73.0,441.0,3054029.42,0.0,0.0,0.0,2517632.843361103,0.0,0.0,17.0,23.0,77.0,324.0,77.0,17.0,84.0,157.0,75.0,0.0,8.0,23.0,95.0,75.0,160.0,111.0,93.0,3054029.42,32839.02602150538,4.139784946236559,12.0,34.0,0.0,31.0,13.0,15.0,8.0,1.0,11.0,60.0,13.0,94.0,292.15,3.1079787234042553,4.5638297872340425,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,-2387.6236559139784,-2570.0,0.0,13.0,27.0,24.0,22.0,7.0,44.0,42.0,7.0,89.0,36.0,31.0,23.0,56.0,14.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,209.0,,0,0,0,0,0,0,3054029.42,,,0.0,,
2012-07-07,2667930.94,2108246.62,7,5,189,27,7,3,2012,1,0,0,0,0,73.0,73.0,8.0,3.0,55.0,0.0,6.0,1.0,10.0,1.0,14.0,40.0,8.0,26.0,34.0,13.0,2.0,13.0,20.0,15.0,12.0,11.0,75.0,73.0,50.0,364.0,2667930.94,0.0,0.0,0.0,2108246.620642824,0.0,0.0,7.0,6.0,66.0,285.0,66.0,7.0,96.0,150.0,31.0,0.0,8.0,6.0,54.0,92.0,132.0,86.0,73.0,2667930.94,36546.99917808219,2.904109589041096,12.0,35.0,0.0,27.0,6.0,5.0,10.0,1.0,14.0,40.0,8.0,92.0,328.58,3.571521739130435,4.336956521739131,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,-2368.3972602739727,-2531.0,0.0,10.0,27.0,12.0,17.0,7.0,37.0,33.0,3.0,72.0,29.0,34.0,22.0,38.0,13.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,208.0,,0,0,0,0,0,0,2667930.94,,,0.0,,
2012-07-08,2360851.9,1808622.79,8,6,190,27,7,3,2012,1,0,0,0,0,88.0,87.0,5.0,3.0,67.0,2.0,8.0,3.0,12.0,5.0,8.0,50.0,13.0,30.0,45.0,13.0,7.0,11.0,22.0,18.0,2.0,28.0,94.0,88.0,62.0,394.0,2360851.9,0.0,0.0,0.0,1808622.794866024,0.0,0.0,0.0,23.0,80.0,291.0,80.0,0.0,57.0,155.0,65.0,0.0,14.0,23.0,55.0,97.0,127.0,115.0,88.0,2360851.9,26827.8625,3.465909090909091,12.0,32.0,0.0,33.0,17.0,6.0,12.0,5.0,8.0,50.0,13.0,78.0,428.18,5.489487179487179,4.730769230769231,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,-2465.0795454545455,-2482.0,0.0,11.0,20.0,33.0,18.0,6.0,44.0,40.0,4.0,86.0,34.0,34.0,26.0,43.0,19.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,207.0,,0,0,0,0,0,0,2360851.9,,,0.0,,
2012-07-09,3548386.46,2787841.68,9,0,191,28,7,3,2012,0,0,0,0,0,137.0,137.0,20.0,0.0,106.0,2.0,8.0,1.0,23.0,1.0,20.0,73.0,20.0,52.0,61.0,24.0,13.0,10.0,33.0,29.0,12.0,40.0,157.0,137.0,92.0,730.0,3548386.46,0.0,0.0,0.0,2787841.68054154,0.0,0.0,6.0,37.0,257.0,430.0,234.0,6.0,54.0,272.0,85.0,23.0,19.0,37.0,202.0,169.0,179.0,180.0,137.0,3548386.46,25900.631094890512,3.2262773722627736,12.0,59.0,1.0,45.0,23.0,9.0,23.0,1.0,20.0,73.0,20.0,86.0,404.65,4.705232558139534,4.313953488372093,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,-2508.284671532847,-2618.0,0.0,19.0,42.0,36.0,27.0,13.0,66.0,69.0,2.0,136.0,37.0,38.0,41.0,69.0,27.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,206.0,,0,0,0,0,0,0,3548386.46,,,0.0,,
2012-07-10,5234938.62,4044438.84,10,1,192,28,7,3,2012,0,0,0,0,0,183.0,182.0,18.0,4.0,137.0,7.0,9.0,8.0,13.0,13.0,28.0,104.0,25.0,72.0,82.0,29.0,18.0,20.0,63.0,44.0,12.0,26.0,203.0,183.0,131.0,928.0,5234938.62,0.0,0.0,0.0,4044438.8366003237,0.0,0.0,19.0,31.0,250.0,628.0,244.0,19.0,128.0,368.0,103.0,6.0,29.0,31.0,206.0,203.0,272.0,247.0,183.0,5234938.62,28606.221967213114,3.4918032786885247,12.0,75.0,0.0,62.0,29.0,17.0,13.0,13.0,28.0,104.0,25.0,112.0,416.9,3.7223214285714286,4.25,4.0,,,,,,,,,,,1.0,5.0,5.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,182.0,-2417.7650273224044,-2494.0,0.0,26.0,62.0,43.0,32.0,20.0,86.0,95.0,2.0,178.0,41.0,39.0,58.0,87.0,38.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,205.0,,0,0,0,0,0,0,5234938.62,,,0.0,,
2012-07-11,5582884.78,4338313.07,11,2,193,28,7,3,2012,0,0,0,0,0,221.0,221.0,16.0,2.0,180.0,6.0,13.0,4.0,28.0,12.0,37.0,115.0,29.0,77.0,112.0,32.0,12.0,22.0,70.0,45.0,21.0,51.0,243.0,221.0,130.0,1097.0,5582884.78,0.0,0.0,0.0,4338313.068668959,0.0,0.0,26.0,44.0,407.0,620.0,382.0,26.0,84.0,398.0,112.0,25.0,26.0,44.0,292.0,224.0,301.0,280.0,221.0,5582884.78,25261.922081447967,3.16289592760181,12.0,102.0,0.0,71.0,32.0,16.0,28.0,12.0,37.0,115.0,29.0,136.0,571.37,4.20125,4.4411764705882355,4.5,1.0,4.0,6493.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,221.0,-2452.470588235294,-2573.0,0.0,36.0,67.0,61.0,35.0,22.0,96.0,116.0,9.0,213.0,41.0,39.0,62.0,105.0,54.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,204.0,,0,0,0,0,0,0,5582884.78,0.0011631531467858809,0.004524886877828055,0.0,,
2012-07-12,5734632.02,4458811.27,12,3,194,28,7,3,2012,0,0,0,0,0,246.0,243.0,20.0,4.0,200.0,4.0,7.0,11.0,26.0,14.0,36.0,137.0,33.0,102.0,101.0,43.0,21.0,38.0,68.0,49.0,25.0,45.0,275.0,246.0,157.0,1241.0,5734632.02,0.0,0.0,0.0,4458811.27226482,0.0,0.0,27.0,87.0,408.0,719.0,387.0,27.0,99.0,408.0,157.0,21.0,55.0,87.0,308.0,224.0,384.0,325.0,246.0,5734632.02,23311.512276422764,3.4390243902439024,12.0,102.0,0.0,82.0,41.0,21.0,26.0,14.0,36.0,137.0,33.0,165.0,706.0699999999999,4.279212121212121,4.363636363636363,4.0,1.0,1.0,4834.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,243.0,-2566.959349593496,-2810.0,0.0,23.0,85.0,65.0,53.0,20.0,132.0,105.0,9.0,234.0,41.0,38.0,94.0,101.0,51.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,203.0,,0,0,0,0,0,0,5734632.02,0.0008429485942848693,0.0040650406504065045,0.0,,
2012-07-13,5309511.71,4143402.78,13,4,195,28,7,3,2012,0,0,0,0,0,201.0,200.0,18.0,2.0,163.0,8.0,6.0,4.0,17.0,6.0,33.0,109.0,36.0,78.0,99.0,24.0,14.0,27.0,49.0,51.0,18.0,42.0,223.0,201.0,118.0,995.0,5309511.71,0.0,0.0,0.0,4143402.7789606377,0.0,0.0,10.0,65.0,316.0,604.0,295.0,10.0,113.0,324.0,129.0,21.0,38.0,65.0,240.0,176.0,320.0,259.0,201.0,5309511.71,26415.48114427861,3.288557213930348,12.0,82.0,0.0,73.0,32.0,14.0,17.0,6.0,33.0,109.0,36.0,169.0,777.6800000000001,4.601656804733728,4.3076923076923075,4.0,,,,,,,,,,,2.0,4.5,4.5,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,200.0,-2430.502487562189,-2367.0,0.0,24.0,63.0,58.0,31.0,25.0,105.0,90.0,6.0,197.0,42.0,38.0,64.0,81.0,56.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,202.0,,0,0,0,0,0,0,5309511.71,,,0.0,,
