feature,importance
revenue_lag_1,0.32719743
revenue_lag_364,0.07491577
revenue_lag_365,0.06335565
revenue_roll_sum_7,0.06104886
promo_targeted_cnt,0.044732183
promo_global_cnt,0.02484876
promo_intensity,0.02289707
revenue_roll_sum_28,0.02151377
revenue_lag_7,0.020114727
day,0.018253725
revenue_lag_28,0.017540954
is_promo_active,0.013254274
promo_discount_mean,0.012790875
revenue_lag_14,0.010628163
revenue_ewm_mean_14,0.010176051
days_to_next_mega_sale,0.009755879
time_idx_sq,0.009561838
is_month_end,0.0089862235
revenue_roll_mean_28,0.008792779
dow_cos,0.008209963
promo_global_ratio,0.008119952
revenue_ewm_mean_7,0.00810549
is_holiday_fixed,0.008007689
revenue_roll_mean_7,0.007470973
revenue_roll_mean_14,0.0073226965
days_since_prev_mega_sale,0.0072971703
promo_active_cnt,0.007087948
doy_sin,0.0070071854
day_of_week,0.00684799
revenue_roll_std_7,0.006559284
revenue_roll_std_28,0.0064869183
days_to_next_promo_start,0.006374314
is_month_start,0.0058585024
is_pre_promo_3d,0.005574062
time_idx,0.0052009174
revenue_roll_mean_84,0.005094743
is_quarter_end,0.005072517
dow_sin,0.004918003
revenue_lag_366,0.004677683
revenue_lag_56,0.0046166256
revenue_roll_sum_56,0.0044549615
revenue_ewm_mean_28,0.004453897
revenue_roll_std_14,0.0044498513
is_post_promo_3d,0.0042001386
days_since_prev_promo_end,0.004034199
promo_targeted_discount_mean,0.004023137
doy_cos,0.0037012224
promo_outdoor_direct_discount_mean,0.0036926882
revenue_roll_mean_56,0.0035413124
week_of_year,0.0033814393
revenue_roll_std_84,0.0032398964
revenue_lag_84,0.0031493008
revenue_ewm_mean_56,0.0029832567
revenue_roll_std_56,0.0029075297
day_of_year,0.0029031017
revenue_lag_182,0.0028202473
revenue_roll_sum_14,0.0026167238
promo_global_discount_mean,0.0025780438
month_cos,0.0025196336
month_sin,0.0024040923
year,0.0021035778
promo_stackable_cnt,0.0020784333
is_post_mega_sale_3d,0.0019681577
revenue_roll_sum_84,0.0019005794
is_post_promo_7d,0.0017890622
is_weekend,0.0017078366
month,0.0013786647
is_promo_start_day,0.0011833814
is_mega_sale_0909,0.00086777145
promo_outdoor_direct_cnt,0.00069235463
is_quarter_start,0.0
quarter,0.0
is_promo_end_day,0.0
is_pre_mega_sale_3d,0.0
is_mega_sale,0.0
promo_streetwear_direct_discount_mean,0.0
promo_streetwear_direct_cnt,0.0
promo_pct_cnt,0.0
promo_fixed_cnt,0.0
is_mega_sale_1212,0.0
is_mega_sale_1111,0.0
is_pre_promo_7d,0.0
