target,model_family,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds,runtime_used,params_json,trial
revenue,cat,466651.0736833172,38550.78777166497,590722.983481457,65071.04370237276,0.3173690643226923,0.07674133174525999,2,gpu,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 7.0, ""learning_rate"": 0.08, ""random_strength"": 0.0}",3
revenue,cat,483600.27614104527,59083.52450074151,610427.4392667561,92798.2034692535,0.28346351277280146,0.019833000025817005,2,gpu,"{""depth"": 8, ""iterations"": 400, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",9
revenue,cat,484820.7193802062,66750.98714409306,615660.3818644006,97545.68329501364,0.27281455515436975,0.010565910278916346,2,gpu,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.05, ""random_strength"": 0.0}",5
revenue,cat,470903.13716162904,81396.4823994574,615977.1852406239,109918.44549598158,0.2769177651143738,0.019264754630199277,2,gpu,"{""depth"": 4, ""iterations"": 1000, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.05, ""random_strength"": 1.0}",7
revenue,cat,489269.8540502782,59448.69659338158,617911.571035553,93809.76154865697,0.26573044676303725,0.020630590284001604,2,gpu,"{""depth"": 8, ""iterations"": 400, ""l2_leaf_reg"": 1.0, ""learning_rate"": 0.03, ""random_strength"": 1.0}",6
revenue,cat,497380.5370668396,82330.9811563199,636524.9999865122,124197.1524202741,0.23167460675616025,0.04696197461074958,2,gpu,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03, ""random_strength"": 1.0}",12
revenue,cat,488628.90031214035,26290.786821635527,640565.9807784667,56851.15960478579,0.18918103349924387,0.12557720852767684,2,gpu,"{""depth"": 6, ""iterations"": 700, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08, ""random_strength"": 1.0}",10
revenue,cat,492767.25059104036,78693.45480095872,642158.3392980152,107968.34821078059,0.21151206817959856,0.004246680127786395,2,gpu,"{""depth"": 4, ""iterations"": 400, ""l2_leaf_reg"": 1.0, ""learning_rate"": 0.03, ""random_strength"": 0.5}",2
revenue,cat,498453.2931124933,89709.99144899304,645174.7438702257,123724.90003916592,0.20990523672642353,0.042814911137950606,2,gpu,"{""depth"": 4, ""iterations"": 400, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03, ""random_strength"": 1.0}",4
revenue,cat,505837.9771901112,46909.738182213536,657000.9368362441,64431.95160891389,0.15086668264913883,0.11588603706755984,2,gpu,"{""depth"": 6, ""iterations"": 1000, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03, ""random_strength"": 1.0}",11
revenue,cat,543829.5550236297,26617.507906300423,696887.7809176119,37393.8258284498,0.022546933172217565,0.2178549382272129,2,gpu,"{""depth"": 8, ""iterations"": 1000, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.05, ""random_strength"": 0.0}",1
revenue,cat,563261.9153319758,18894.933438562497,718553.2371105835,38045.639355561114,-0.0395838484391996,0.23311059053483507,2,gpu,"{""depth"": 4, ""iterations"": 1000, ""l2_leaf_reg"": 1.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",8
