target,model_family,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds,runtime_used,params_json,trial
revenue,lgbm,472697.70331958507,23445.808693247905,590907.1266179733,58486.4587409253,0.31341232972767086,0.09246711842319355,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 40, ""n_estimators"": 1000, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0, ""subsample"": 0.95}",4
revenue,lgbm,468107.54756667314,2476.095249236998,593874.1076788947,29832.509852612857,0.28880545080922143,0.1631456738461981,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0, ""subsample"": 0.95}",1
revenue,lgbm,480591.2413924424,10348.71056573998,610026.8625881695,38841.89304492163,0.2551062731582392,0.15173310478716606,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 120, ""n_estimators"": 400, ""num_leaves"": 127, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5, ""subsample"": 0.85}",6
revenue,lgbm,476242.6342531001,16553.28736800619,611982.2489607497,43858.21168887761,0.25349095393200005,0.1405336391275911,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 10, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}",12
revenue,lgbm,492600.74592350796,3031.651059950702,612388.3482424454,27929.882150603284,0.24179281085516352,0.18057641823790666,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 10, ""min_child_samples"": 60, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.1, ""reg_lambda"": 0.05, ""subsample"": 0.95}",7
revenue,lgbm,490343.85056587856,35291.69184168885,615436.5526226223,55387.93716698291,0.25200701978690926,0.11401174306464451,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_samples"": 20, ""n_estimators"": 1200, ""num_leaves"": 127, ""reg_alpha"": 0.5, ""reg_lambda"": 0.05, ""subsample"": 1.0}",5
revenue,lgbm,475267.68329107994,23080.031115247315,616129.1364191622,61468.88126282708,0.253826845255114,0.09932425977655612,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_samples"": 80, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.05, ""subsample"": 0.95}",10
revenue,lgbm,490008.7161093247,26580.771270135156,617582.7757889527,48187.0228889531,0.24225929623436643,0.13327762241536917,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 1000, ""num_leaves"": 127, ""reg_alpha"": 0.01, ""reg_lambda"": 0.05, ""subsample"": 0.75}",2
revenue,lgbm,501331.0673538102,29321.618295295746,626729.6723719691,59784.76437458792,0.2263255391360962,0.10968996916791951,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 127, ""reg_alpha"": 0.0, ""reg_lambda"": 0.01, ""subsample"": 0.85}",8
revenue,lgbm,494091.9096615306,48426.94965329772,632313.6283458464,79086.69073953916,0.22293567441496837,0.0640689742993053,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": -1, ""min_child_samples"": 80, ""n_estimators"": 400, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",9
revenue,lgbm,532556.0420743146,10519.65392926347,648198.6151556938,24470.118110591953,0.14667583347702495,0.2158522310058787,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 60, ""n_estimators"": 1200, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 0.0, ""subsample"": 0.75}",11
revenue,lgbm,528280.9709590082,48555.26814335698,659624.2026983167,71062.40020087617,0.14790487913705735,0.09991668886280497,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_samples"": 20, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.01, ""reg_lambda"": 0.01, ""subsample"": 1.0}",3
