target,model_family,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds,runtime_used,params_json,trial
revenue,xgb,454522.83941666665,14885.271750000014,576075.5904958012,28915.914230387192,0.33078125048444673,0.15356623524225976,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 1.0, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.95}",5
revenue,xgb,468788.65950000007,39501.2901666667,590575.8498204256,46607.45624189405,0.30739807269432273,0.12061333826270537,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 1.0, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.95}",9
revenue,xgb,472118.98050000006,3039.3486666666577,592269.3305003049,21650.645487655944,0.2870826609505618,0.18193250531034155,2,gpu,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",7
revenue,xgb,474358.2673333334,26983.71683333334,598240.1635581707,58281.74074135901,0.2957473862786563,0.09701728871492671,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 2.0, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}",10
revenue,xgb,476455.1565833334,8091.5660833333095,599791.609095312,33164.74915441341,0.2766007795176319,0.1589743777030604,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}",1
revenue,xgb,481280.69375,56774.84758333335,610794.0754727948,90393.57621772439,0.28152677670995163,0.0258020635210513,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""subsample"": 0.85}",6
revenue,xgb,485983.16091666673,38247.68875000003,624641.1454804974,70343.47260476847,0.2375688237138739,0.08196119356049136,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 2.0, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.5, ""subsample"": 1.0}",11
revenue,xgb,555572.9654999999,86705.87633333332,672797.296474786,107592.96307066479,0.13203059385464833,0.009979324999998984,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 4.0, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5, ""subsample"": 0.75}",4
revenue,xgb,573222.0352500001,69374.71108333339,696754.211901356,78408.85158167151,0.05133227658964634,0.10213309558385986,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 2.0, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.5, ""subsample"": 0.85}",2
revenue,xgb,676750.9531666667,15845.991333333368,805240.9470631988,5158.218591103272,-0.3533751063887708,0.45153742460857027,2,gpu,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 8.0, ""n_estimators"": 300, ""reg_alpha"": 0.05, ""reg_lambda"": 1.0, ""subsample"": 0.75}",3
revenue,xgb,724455.633,48094.16483333334,836086.3499695637,45093.62798894709,-0.5077138080344341,0.6262518739910081,2,gpu,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 1.0, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""subsample"": 0.75}",12
revenue,xgb,885276.5728333333,250641.37499999988,996400.5329729174,223441.00266276923,-1.4655898853149374,1.6238612548587907,2,gpu,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1.0, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.95}",8
